"","Date","Stock","Values"
"1",1997-01-31,10065,0.039804
"2",1997-02-28,10065,0.007979
"3",1997-03-31,10065,-0.028396
"4",1997-04-30,10065,0.020391
"5",1997-05-30,10065,0.0551
"6",1997-06-30,10065,0.059157
"7",1997-07-31,10065,0.044087
"8",1997-08-29,10065,-0.03251
"9",1997-09-30,10065,0.045998
"10",1997-10-31,10065,-0.039554
"11",1997-11-28,10065,-0.012486
"12",1997-12-31,10065,0.024455
"13",1997-01-31,10145,0.045873
"14",1997-02-28,10145,0.026437
"15",1997-03-31,10145,-0.018141
"16",1997-04-30,10145,0.009735
"17",1997-05-30,10145,0.060982
"18",1997-06-30,10145,0.090763
"19",1997-07-31,10145,0.093914
"20",1997-08-29,10145,-0.106295
"21",1997-09-30,10145,0.025123
"22",1997-10-31,10145,-0.157141
"23",1997-11-28,10145,0.030961
"24",1997-12-31,10145,0.040655
"25",1997-01-31,10516,-0.106773
"26",1997-02-28,10516,-0.064659
"27",1997-03-31,10516,-0.038084
"28",1997-04-30,10516,0.023672
"29",1997-05-30,10516,0.086256
"30",1997-06-30,10516,0.1713
"31",1997-07-31,10516,-0.046853
"32",1997-08-29,10516,0.007289
"33",1997-09-30,10516,0.102536
"34",1997-10-31,10516,-0.074696
"35",1997-11-28,10516,-0.040979
"36",1997-12-31,10516,0.00982
"37",1997-01-31,10656,-0.062796
"38",1997-02-28,10656,0.015148
"39",1997-03-31,10656,-0.0043
"40",1997-04-30,10656,-0.022992
"41",1997-05-30,10656,0.023671
"42",1997-06-30,10656,0.092967
"43",1997-07-31,10656,0.030956
"44",1997-08-29,10656,0.176499
"45",1997-09-30,10656,0.044551
"46",1997-10-31,10656,0.002467
"47",1997-11-28,10656,0.042458
"48",1997-12-31,10656,0.042289
"49",1997-01-31,10866,-0.094155
"50",1997-02-28,10866,-0.019052
"51",1997-03-31,10866,0.034162
"52",1997-04-30,10866,-0.0043
"53",1997-05-30,10866,0.092844
"54",1997-06-30,10866,0.034494
"55",1997-07-31,10866,-0.067845
"56",1997-08-29,10866,-0.050529
"57",1997-09-30,10866,0.100469
"58",1997-10-31,10866,-0.172585
"59",1997-11-28,10866,0.066348
"60",1997-12-31,10866,-0.176229
"61",1997-01-31,10874,0.042375
"62",1997-02-28,10874,0.140379
"63",1997-03-31,10874,-0.065435
"64",1997-04-30,10874,0.051514
"65",1997-05-30,10874,0.0788
"66",1997-06-30,10874,0.016708
"67",1997-07-31,10874,0.0277
"68",1997-08-29,10874,-0.054488
"69",1997-09-30,10874,0.151338
"70",1997-10-31,10874,-0.046753
"71",1997-11-28,10874,-0.009456
"72",1997-12-31,10874,-0.098258
"73",1997-01-31,10890,0.014019
"74",1997-02-28,10890,-0.040264
